epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,626.611,0.7421,0.88788,0.90823,0.77104,0.81816,0.9225,0.67025,0.49106,4.05689,0.51044,0.000622615,0.000622615,0.000622615
59,633.802,0.72383,0.95241,0.85978,0.77251,0.83548,0.9458,0.67341,0.498,3.72425,0.51286,0.000608468,0.000608468,0.000608468
60,641.032,0.76488,0.77002,0.92926,0.79683,0.83598,0.93623,0.65738,0.54505,3.40703,0.53204,0.000594321,0.000594321,0.000594321
61,648.221,0.74719,0.8019,0.89103,0.90987,0.8334,0.93384,0.65325,0.55242,3.35801,0.53566,0.000580174,0.000580174,0.000580174
62,655.349,0.73431,0.89781,0.85792,0.91058,0.8206,0.93059,0.67498,0.54477,3.34694,0.53285,0.000566027,0.000566027,0.000566027
63,662.496,0.6869,0.76135,0.87889,0.92026,0.8329,0.93772,0.7015,0.51259,3.31317,0.51659,0.00055188,0.00055188,0.00055188
64,669.77,0.76911,0.82711,0.94775,0.95256,0.79468,0.94257,0.69963,0.45614,3.33948,0.49657,0.000537733,0.000537733,0.000537733
65,677.033,0.79357,0.75059,0.89163,0.95029,0.79996,0.94688,0.68988,0.46992,3.2882,0.49823,0.000523586,0.000523586,0.000523586
66,684.113,0.70035,0.79357,0.92781,0.87005,0.8,0.93458,0.69367,0.48363,3.42905,0.49969,0.000509438,0.000509438,0.000509438
67,691.147,0.80771,0.90051,0.96522,0.89063,0.8,0.93898,0.68794,0.50943,3.57521,0.50806,0.000495291,0.000495291,0.000495291
68,698.28,0.72941,0.84714,0.90125,0.87498,0.8,0.90598,0.64629,0.53191,3.56054,0.51625,0.000481144,0.000481144,0.000481144
69,705.365,0.83139,1.059,0.98002,0.83767,0.8,0.90598,0.63395,0.536,3.40757,0.51857,0.000466997,0.000466997,0.000466997
70,712.322,0.7512,0.88169,0.86921,0.84662,0.88057,0.92617,0.67112,0.52904,3.32389,0.5181,0.00045285,0.00045285,0.00045285
71,719.396,0.69099,0.79449,0.88064,0.85539,0.90212,0.92617,0.67336,0.5228,3.24769,0.51431,0.000438703,0.000438703,0.000438703
72,726.642,0.72984,0.80889,0.91653,0.81508,0.9,0.92507,0.68639,0.49282,3.10609,0.49599,0.000424556,0.000424556,0.000424556
73,733.761,0.7224,0.83992,0.96605,0.82141,0.89661,0.92615,0.67842,0.49078,3.06723,0.4913,0.000410409,0.000410409,0.000410409
74,740.753,0.63737,0.75431,0.88869,0.81745,0.89157,0.9207,0.66668,0.48983,3.05293,0.48831,0.000396262,0.000396262,0.000396262
75,747.868,0.65649,0.78389,0.88362,0.81525,0.89435,0.92036,0.67773,0.4923,3.05203,0.48918,0.000382115,0.000382115,0.000382115
76,754.988,0.69517,0.80552,0.86153,0.79885,0.90988,0.91286,0.66125,0.50861,3.02598,0.49707,0.000367967,0.000367967,0.000367967
77,762.15,0.66438,0.74375,0.88882,0.79248,0.9126,0.91286,0.66124,0.51453,2.98214,0.50627,0.00035382,0.00035382,0.00035382
78,769.275,0.63961,0.80977,0.91046,0.78366,0.90615,0.92036,0.66605,0.51992,2.92835,0.51271,0.000339673,0.000339673,0.000339673
79,776.371,0.61285,0.74219,0.87303,0.78044,0.90068,0.92036,0.65044,0.53131,2.90198,0.51976,0.000325526,0.000325526,0.000325526
80,783.396,0.70111,0.72957,0.91302,0.78037,0.89958,0.90196,0.63735,0.53394,2.85022,0.52276,0.000311379,0.000311379,0.000311379
81,790.46,0.73493,0.74295,0.92415,0.7761,0.88769,0.90427,0.63494,0.53864,2.84322,0.52375,0.000297232,0.000297232,0.000297232
82,797.503,0.65487,0.77628,0.89361,0.88296,0.79655,0.90642,0.64945,0.53248,2.85577,0.52196,0.000283085,0.000283085,0.000283085
83,804.589,0.68621,0.98599,0.85685,0.86493,0.8,0.90789,0.65233,0.52241,2.86443,0.51835,0.000268938,0.000268938,0.000268938
84,811.795,0.75308,0.75821,0.90452,0.87599,0.8,0.91555,0.65902,0.51894,2.86609,0.5156,0.000254791,0.000254791,0.000254791
85,819.011,0.68813,0.79112,0.96726,0.87026,0.8,0.92157,0.65281,0.51897,2.87411,0.51334,0.000240644,0.000240644,0.000240644
86,826.072,0.62214,0.68961,0.88139,0.92911,0.78394,0.92059,0.6536,0.52994,2.86369,0.51582,0.000226497,0.000226497,0.000226497
87,833.179,0.61457,0.6565,0.89321,0.87581,0.75,0.91551,0.65588,0.53147,2.84851,0.51685,0.000212349,0.000212349,0.000212349
88,840.352,0.66263,0.82269,0.89591,0.9525,0.79049,0.92385,0.66085,0.53985,2.8163,0.52005,0.000198202,0.000198202,0.000198202
89,847.522,0.67274,0.84929,0.9242,0.90617,0.8,0.92266,0.66733,0.54003,2.81198,0.51986,0.000184055,0.000184055,0.000184055
90,854.735,0.62987,0.67669,0.8837,0.89713,0.8,0.92304,0.66903,0.54152,2.79891,0.5219,0.000169908,0.000169908,0.000169908
91,862.105,0.61919,1.41168,0.79536,0.89757,0.8,0.92423,0.6501,0.54033,2.78092,0.52208,0.000155761,0.000155761,0.000155761
92,869.103,0.31802,1.64876,0.64527,0.82131,0.92311,0.93667,0.65469,0.53798,2.74949,0.52284,0.000141614,0.000141614,0.000141614
93,876.078,0.54192,0.94735,0.90494,0.82199,0.95,0.94551,0.65919,0.5372,2.72647,0.52447,0.000127467,0.000127467,0.000127467
94,882.985,0.67014,1.03487,0.80622,0.84398,0.95,0.94551,0.66569,0.53602,2.71489,0.52457,0.00011332,0.00011332,0.00011332
95,889.971,0.58404,0.81424,0.87723,0.84969,0.95,0.94551,0.66625,0.53291,2.70178,0.52365,9.91726e-05,9.91726e-05,9.91726e-05
96,896.942,0.83047,1.18521,1.18446,0.85673,0.92167,0.94998,0.65851,0.52762,2.68917,0.52176,8.50255e-05,8.50255e-05,8.50255e-05
97,903.804,0.51008,3.06897,0.72393,0.85609,0.92029,0.94998,0.65851,0.52605,2.69535,0.52081,7.08784e-05,7.08784e-05,7.08784e-05
98,910.747,0.46165,0.81662,0.81016,0.85636,0.92217,0.95421,0.66192,0.52836,2.69889,0.52134,5.67313e-05,5.67313e-05,5.67313e-05
99,917.762,0.68026,0.99998,0.91422,0.85456,0.91129,0.95258,0.66272,0.52845,2.70417,0.52007,4.25842e-05,4.25842e-05,4.25842e-05
100,924.8,0.59932,0.88735,0.90322,0.85575,0.9,0.95111,0.64948,0.52594,2.71409,0.5189,2.84371e-05,2.84371e-05,2.84371e-05
